Institution,UgMale,UgFemale,DMale,FemaleD,CMale,CFemale,IMale,IFemale
ABHILASHI UNIVERSITY (Id: U-0761),664,437,223,58,0,0,0,0
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",2968,104,0,0,0,0,0,0
"Acharya Nagarjuna University, Guntur (Id: U-0003)",5624,4846,0,0,0,0,90,55
"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",2120,2938,0,0,0,0,0,0
ADAMAS UNIVERSITY (Id: U-0857),1365,714,95,23,0,0,90,107
ADESH UNIVERSITY (Id: U-0736),733,963,140,71,0,0,0,0
ADICHUNCHANAGIRI UNIVERSITY (Id: U-0971),363,432,0,0,0,0,0,0
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",168,182,0,0,0,0,0,0
"AGRICULTURE UNIVERSITY, JODHPUR (Id: U-0703)",413,149,0,0,0,0,0,0
Ahmedabad University (Id: U-0122),1352,962,38,19,0,0,216,424
AISECT UNIVERSITY (Id: U-0850),480,240,0,1,0,0,0,0
Ajeenkya D Y Patil University (Id: U-0885),1299,425,0,0,0,0,0,0
"AKAL UNIVERSITY,BHATINDA (Id: U-0879)",191,709,0,0,0,0,0,0
"AKS UNIVERSITY, SATNA (Id: U-0650)",4463,1470,1568,185,0,0,0,0
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",14711,16605,44,20,61,87,259,123
Al-Falah University (Id: U-0936),1640,618,637,78,0,0,0,0
"Aliah University, Kolkata (Id: U-0567)",2107,802,0,0,0,0,782,508
"Aligarh Muslim University, Aligarh (Id: U-0496)",12371,3221,1745,66,128,16,0,347
AL-KARIM UNIVERSITY (Id: U-0990),0,0,0,0,0,0,0,0
ALLAHABAD STATE UNIVERSITY (Id: U-0849),0,0,0,0,0,0,0,0
Alliance University. Bangalore (Id: U-0213),2153,979,0,0,0,0,0,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR (Id: U-0688)",381,445,0,0,0,0,0,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR (Id: U-0689)",434,400,0,0,0,0,0,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI (Id: U-0961)",31,19,0,0,0,0,0,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA (Id: U-0686)",401,402,0,0,0,0,0,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR (Id: U-0690)",385,438,0,0,0,0,0,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH (Id: U-0691)",428,445,0,0,0,0,0,0
