Institution,tMale,tFemale,Male,Female,Male.1,Female.1,Male.2,Female.2,Male.3,Female.3,Male.4,Female.4,Male.5,Female.5
ABHILASHI UNIVERSITY (Id: U-0761),69,72,7,6,2,1,6,3,,,,1,2,1
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",154,36,17,1,,,94,27,,,2,3,13,4
"Acharya Nagarjuna University, Guntur (Id: U-0003)",154,73,27,12,3,2,48,29,2,1,6,4,7,11
"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",218,162,28,37,12,3,74,46,,,7,4,7,3
ADAMAS UNIVERSITY (Id: U-0857),116,77,,1,,,2,,,,2,1,0,
ADESH UNIVERSITY (Id: U-0736),152,181,,,,,,1,,,8,1,38,87
ADICHUNCHANAGIRI UNIVERSITY (Id: U-0971),82,29,,,,,52,20,,,,,,
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",84,49,12,13,4,2,26,16,1,,,,7,7
"AGRICULTURE UNIVERSITY, JODHPUR (Id: U-0703)",58,14,10,,4,,21,9,,,,,,
Ahmedabad University (Id: U-0122),79,47,,,,,,,,,,,75,45
AISECT UNIVERSITY (Id: U-0850),30,20,1,,,1,8,1,,,,,,
Ajeenkya D Y Patil University (Id: U-0885),44,38,5,3,,,10,8,,,2,,5,6
"AKAL UNIVERSITY,BHATINDA (Id: U-0879)",45,30,,3,,,7,5,,,2,,23,23
"AKS UNIVERSITY, SATNA (Id: U-0650)",176,69,4,1,,,64,18,,,3,1,2,1
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",156,52,46,5,,,105,44,1,,1,3,5,5
Al-Falah University (Id: U-0936),139,40,,,,,2,,,,126,23,,
"Aliah University, Kolkata (Id: U-0567)",113,43,,,,,24,4,,,88,29,,
"Aligarh Muslim University, Aligarh (Id: U-0496)",934,212,1,,,,7,2,,,876,195,1,
AL-KARIM UNIVERSITY (Id: U-0990),1,,,,,,,,,,1,,,
ALLAHABAD STATE UNIVERSITY (Id: U-0849),1,,,,,,,,,,,,,
Alliance University. Bangalore (Id: U-0213),105,57,6,4,1,,24,11,,,2,5,7,3
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR (Id: U-0688)",154,69,13,5,3,2,24,11,,1,3,2,5,5
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR (Id: U-0689)",119,57,13,8,1,,15,11,1,,1,,3,2
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI (Id: U-0961)",42,19,4,2,,1,15,5,,,1,2,1,2
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA (Id: U-0686)",88,30,10,3,,1,19,5,,1,5,1,,
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR (Id: U-0690)",93,54,10,5,2,1,20,8,,,3,1,3,4
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH (Id: U-0691)",126,83,10,9,2,3,20,3,,,5,3,,5
AMITY UNIVERSITY (Id: U-0779),87,83,,,,,,,,,1,1,,2
"Amity University, Gwalior (Id: U-0604)",99,56,2,1,,,7,1,,,2,4,2,1
"Amity University Haryana, Gurgaon (Id: U-0155)",206,182,9,2,1,4,20,18,,,4,4,1,10
"AMITY UNIVERSITY,JHARKHAND (Id: U-0875)",27,31,,,,,1,,,,1,,,1
AMITY UNIVERSITY MUMBAI (Id: U-0995),69,42,,,,,,,,,,,,1
AMITY UNIVERSITY PATNA (Id: U-0964),28,21,1,,,,4,1,,,1,,,
