Institution,out turn
ABHILASHI UNIVERSITY (Id: U-0761),409
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",772
"Acharya Nagarjuna University, Guntur (Id: U-0003)",17075
"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",956
ADAMAS UNIVERSITY (Id: U-0857),357
ADESH UNIVERSITY (Id: U-0736),458
ADICHUNCHANAGIRI UNIVERSITY (Id: U-0971),814
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",527
"AGRICULTURE UNIVERSITY, JODHPUR (Id: U-0703)",136
"AGRICULTURE UNIVERSITY, KOTA (Id: U-0704)",24
Ahmedabad University (Id: U-0122),1120
AIPH UNIVERSITY (Id: U-1062),0
AISECT UNIVERSITY (Id: U-0850),177
Ajeenkya D Y Patil University (Id: U-0885),163
"AKAL UNIVERSITY,BHATINDA (Id: U-0879)",305
"AKS UNIVERSITY, SATNA (Id: U-0650)",1590
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",6194
Al-Falah University (Id: U-0936),713
"Aliah University, Kolkata (Id: U-0567)",1091
"Aligarh Muslim University, Aligarh (Id: U-0496)",7700
ALLAHABAD STATE UNIVERSITY (Id: U-0849),0
Alliance University. Bangalore (Id: U-0213),1027
ALL INDIA INSTITUTE OF MEDICAL SCIENCE DEOGHAR (Id: U-1057),0
ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI (Id: U-1052),0
ALL INDIA INSTITUTE OF MEDICAL SCIENCE NAGPUR (Id: U-1051),50
All India Institute of Medical Sciences (Id: U-0096),615
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL (Id: U-0687)",150
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR (Id: U-0688)",183
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR (Id: U-0689)",4153
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI (Id: U-0961)",0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA (Id: U-0686)",128
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR (Id: U-0690)",148
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH (Id: U-0691)",191
AMITY UNIVERSITY (Id: U-0779),787
"Amity University, Gwalior (Id: U-0604)",607
"Amity University Haryana, Gurgaon (Id: U-0155)",1338
"AMITY UNIVERSITY,JHARKHAND (Id: U-0875)",250
AMITY UNIVERSITY MUMBAI (Id: U-0995),591
AMITY UNIVERSITY PATNA (Id: U-0964),28
"AMITY UNIVERSITY, RAIPUR (Id: U-0757)",168
"Amity University Rajasthan, Jaipur (Id: U-0388)",806
"Amity University, Uttar Pradesh (Id: U-0497)",12179
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",5280
ANANT NATIONAL UNIVERSITY (Id: U-0830),22
"Andhra University, Visakhapatnam (Id: U-0006)",7788
"Annamalai University, Annamalainagar (Id: U-0443)",55645
"Anna University, Chennai (Id: U-0439)",494
Ansal University (Id: U-0667),545
"Apeejay  Stya University, Sohna (Id: U-0156)",162
APEX PROFESSIONAL UNIVERSITY (Id: U-0712),265
APEX UNIVERSITY (Id: U-1038),105
A P GOYAL SHIMLA UNIVERSITY (Id: U-0697),488
"ARKA JAIN University, Jharkhand (Id: U-0920)",29
ARUNACHAL UNIVERSITY OF STUDIES (Id: U-0740),1395
Arunodaya University (Id: U-0947),58
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",12
ASHOKA UNIVERSITY (Id: U-0744),766
"Assam Agricultural University, Jorhat (Id: U-0048)",435
"Assam Don Bosco University, Guwahati (Id: U-0049)",764
ASSAM DOWN TOWN UNIVERSITY (Id: U-0683),679
Assam Royal Global University (Id: U-0894),172
ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY (Id: U-0673),0
"Assam University, Silchar (Id: U-0050)",1331
ASSAM WOMEN?S UNIVERSITY (Id: U-0815),172
ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651),119
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",213
ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA (Id: U-0636),195
ATMIYA UNIVERSITY (Id: U-0967),0
AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT (Id: U-0794),292
AVANTIKA UNIVERSITY (Id: U-0959),21
"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore (Id: U-0444)",2021
"Awadesh Pratap Singh University, Rewa (Id: U-0268)",2199
"Azim Premji University, Bangalore (Id: U-0601)",454
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",6907
"Baba Ghulam Shah Badshah University,  Jammu (Id: U-0191)",549
BABA MASTNATH UNIVERSITY (Id: U-0666),594
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",1172
"Babu Banarsi Das University, Lucknow (Id: U-0499)",1473
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan (Id: U-0177)",356
"Bahra University, Solan (Id: U-0597)",552
"Banaras Hindu University, Banaras (Id: U-0500)",15398
Banasthali Vidyapith (Id: U-0389),3894
"Bangalore University, Bangalore (Id: U-0215)",3285
"BANKURA UNIVERSITY, BANKURA (Id: U-0772)",628
"Bareilly International University, Bareilly (Id: U-0897)",493
"Barkatullah University, Bhopal (Id: U-0269)",898
"Bastar Vishwavidyalaya, Bastar (Id: U-0082)",185
BENGALURU CENTRAL UNIVERSITY (Id: U-0956),0
BENGALURU NORTH UNIVERSITY (Id: U-0972),0
"Bennett University, Greater Noida (Id: U-0890)",54
"Berhampur University, Berhampur (Id: U-0350)",1285
"Bhabha University, Bhopal (Id: U-0943)",19
"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat (Id: U-0157)",711
BHAGWAN MAHAVIR UNIVERSITY (Id: U-1074),0
"Bhagwant University,  Ajmer (Id: U-0390)",982
BHAIKAKA UNIVERSITY (Id: U-1065),0
BHAKTA KAVI NARSINH MEHTA UNIVERSITY (Id: U-0783),80
"Bharathiar University, Coimbatore (Id: U-0447)",16245
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",5200
Bharath Institute of Higher Education & Research (Id: U-0446),3013
"Bharati Vidyapeeth, Pune (Id: U-0292)",2082
Bhartiya Skill Development Univesity (Id: U-0949),22
"BHATTADEV UNIVERSITY, BAJALI (Id: U-1043)",466
BHUPAL NOBLES' UNIVERSITY (Id: U-0836),1903
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",595
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",535
"Bihar Agriculture University, Sabour (Id: U-0060)",108
BIHAR ANIMAL SCIENCES UNIVERSITY (Id: U-0997),92
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",79
BIKANER TECHNICAL UNIVERSITY (Id: U-0991),0
BINOD BIHARI MAHTO KOYALANCHAL UNIVERSITY (Id: U-0978),1874
BIRLA GLOBAL UNIVERSITY (Id: U-1020),168
"Birla Institute of Technology, Ranchi (Id: U-0202)",1233
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",3565
"Birsa Agricultural University, Ranchi (Id: U-0203)",203
