,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
ABHILASHI UNIVERSITY (Id: U-0761),68,68,10,5,1,0,6,3,,,,,2,2
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",152,43,13,,,,88,35,,,5,2,9,5
"Acharya Nagarjuna University, Guntur (Id: U-0003)",141,69,29,10,2,3,44,28,2,1,4,4,6,11
"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",223,173,32,35,10,6,65,51,,,5,5,6,3
ADAMAS UNIVERSITY (Id: U-0857),144,105,2,2,,,4,,,,2,3,0,
ADESH UNIVERSITY (Id: U-0736),143,176,1,,,,,1,,,7,3,38,88
ADICHUNCHANAGIRI UNIVERSITY (Id: U-0971),221,90,,,,,56,24,,,,1,,
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",86,47,12,13,4,2,25,17,1,,,,7,8
"AGRICULTURE UNIVERSITY, JODHPUR (Id: U-0703)",55,14,10,,4,,21,7,1,,,,,
"AGRICULTURE UNIVERSITY, KOTA (Id: U-0704)",28,9,2,,2,,9,1,,2,,,2,
Ahmedabad University (Id: U-0122),116,71,1,,,,,,,,,,110,68
AIPH UNIVERSITY (Id: U-1062),10,5,,,,,2,1,,,,,,
AISECT UNIVERSITY (Id: U-0850),40,33,1,,,1,11,3,,,1,,,2
Ajeenkya D Y Patil University (Id: U-0885),66,66,6,4,2,2,10,11,,,2,3,7,11
"AKAL UNIVERSITY,BHATINDA (Id: U-0879)",48,40,,3,1,,9,3,,,5,,22,24
"AKS UNIVERSITY, SATNA (Id: U-0650)",207,77,8,1,,,71,18,,,3,2,2,2
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",155,52,46,5,,,105,44,1,,1,3,6,5
Al-Falah University (Id: U-0936),246,110,,,,,2,,,,155,34,,1
"Aliah University, Kolkata (Id: U-0567)",129,51,,,,1,26,6,,,101,35,,1
"Aligarh Muslim University, Aligarh (Id: U-0496)",1174,392,2,,1,,90,16,8,1,1098,359,3,
AL-KARIM UNIVERSITY (Id: U-0990),2,,,,,,,,,,1,,,
ALLAHABAD STATE UNIVERSITY (Id: U-0849),1,,,,,,,,,,,,,
Alliance University. Bangalore (Id: U-0213),92,49,4,2,1,,21,10,,,2,5,7,2
ALL INDIA INSTITUTE OF MEDICAL SCIENCE DEOGHAR (Id: U-1057),12,4,2,,,,4,1,,,1,,,
ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI (Id: U-1052),12,9,2,1,1,,1,,,,1,,1,
ALL INDIA INSTITUTE OF MEDICAL SCIENCE NAGPUR (Id: U-1051),49,43,4,,1,1,4,5,,,,2,2,4
All India Institute of Medical Sciences (Id: U-0096),525,250,82,32,18,12,117,28,,1,14,2,15,14
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL (Id: U-0687)",81,44,10,5,1,1,13,6,1,,4,,2,3
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR (Id: U-0688)",154,73,13,5,3,2,23,11,,1,3,2,5,5
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR (Id: U-0689)",111,49,14,7,1,,12,9,1,,1,,3,1
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI (Id: U-0961)",53,20,7,3,,1,13,4,,,1,1,1,2
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA (Id: U-0686)",82,28,10,3,,1,15,5,,1,5,1,,
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR (Id: U-0690)",102,53,11,5,3,1,27,8,,,4,1,3,4
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH (Id: U-0691)",160,92,15,7,1,3,24,9,,,7,3,3,10
AMITY UNIVERSITY (Id: U-0779),124,116,,,,,,,,,,1,1,2
"Amity University, Gwalior (Id: U-0604)",97,57,0,3,,,7,2,,,3,4,4,3
"Amity University Haryana, Gurgaon (Id: U-0155)",228,186,11,2,1,1,25,20,,,7,3,1,7
"AMITY UNIVERSITY,JHARKHAND (Id: U-0875)",38,40,,,,,4,,,,1,,,1
AMITY UNIVERSITY MUMBAI (Id: U-0995),105,74,,,,,,,,,,,3,2
AMITY UNIVERSITY PATNA (Id: U-0964),49,26,,,,,10,3,,,3,,,
"AMITY UNIVERSITY, RAIPUR (Id: U-0757)",70,42,1,,,,7,2,,,4,5,3,1
"Amity University Rajasthan, Jaipur (Id: U-0388)",134,72,12,9,1,,21,3,,,4,1,,
"Amity University, Uttar Pradesh (Id: U-0497)",773,984,7,7,2,3,47,35,,,17,15,28,52
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",950,821,17,20,,1,248,249,1,2,8,2,53,55
"Anand Agricultural University, Anand (Id: U-0123)",1,,,,,,,,,,,,,
ANANT NATIONAL UNIVERSITY (Id: U-0830),30,34,,,,,,,,,4,1,2,1
"Andhra University, Visakhapatnam (Id: U-0006)",273,204,27,22,8,5,39,72,,,2,7,7,14
"Annamalai University, Annamalainagar (Id: U-0443)",1245,377,127,47,2,1,960,266,1,,18,3,49,23
"Anna University, Chennai (Id: U-0439)",1,3,,,,,1,3,,,,,,
Ansal University (Id: U-0667),51,89,,1,,,3,1,,,7,2,4,5
"Apeejay  Stya University, Sohna (Id: U-0156)",40,35,,,,,4,1,,,4,1,,1
APEX PROFESSIONAL UNIVERSITY (Id: U-0712),37,29,,1,10,10,6,9,,,6,2,9,10
APEX UNIVERSITY (Id: U-1038),81,52,12,3,2,,16,5,,,1,1,4,2
A P GOYAL SHIMLA UNIVERSITY (Id: U-0697),53,61,,,,,,,,,1,2,,
A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY (Id: U-0786),1,1,,,,,,,,,,,,
"ARKA JAIN University, Jharkhand (Id: U-0920)",42,42,,,1,3,6,2,,,5,4,1,1
ARUNACHAL UNIVERSITY OF STUDIES (Id: U-0740),105,95,3,3,18,26,11,12,,,2,1,15,23
Arunodaya University (Id: U-0947),11,27,,,6,22,,2,,,,,5,20
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",4,,1,,,,1,,,,1,,,
ASHOKA UNIVERSITY (Id: U-0744),58,39,,,,,,,,,,,47,36
"Assam Agricultural University, Jorhat (Id: U-0048)",98,96,2,2,1,6,16,21,,,3,,,2
"Assam Don Bosco University, Guwahati (Id: U-0049)",151,83,4,3,6,8,9,8,,,4,4,46,15
ASSAM DOWN TOWN UNIVERSITY (Id: U-0683),107,116,5,3,5,22,2,7,,,11,5,3,15
Assam Royal Global University (Id: U-0894),90,86,2,3,2,5,18,9,,,4,7,2,1
ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY (Id: U-0673),2,,,,,,1,,,,,,,
"Assam University, Silchar (Id: U-0050)",277,80,47,10,12,5,39,12,1,,16,5,11,2
ASSAM WOMEN?S UNIVERSITY (Id: U-0815),20,32,,2,1,1,9,16,1,,2,4,,
ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651),2,2,,,,,,,,,,,,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",44,8,1,,,1,3,,,,1,,1,1
ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA (Id: U-0636),16,11,2,1,1,,5,3,,,1,,3,
ATMIYA UNIVERSITY (Id: U-0967),84,24,1,,,,17,,,,,,3,1
AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT (Id: U-0794),57,52,,,,,5,3,,,2,,,5
AVANTIKA UNIVERSITY (Id: U-0959),38,3,1,1,,,7,1,,,,,1,
"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore (Id: U-0444)",,401,,44,,6,,285,,4,,7,,42
"Awadesh Pratap Singh University, Rewa (Id: U-0268)",44,12,1,,,,4,,,,,,,
"Azim Premji University, Bangalore (Id: U-0601)",80,68,,,,,,,,,,,80,68
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",2,,,,,,,,,,,,1,
"Baba Ghulam Shah Badshah University,  Jammu (Id: U-0191)",144,56,3,3,15,4,6,1,,,104,32,3,7
BABA MASTNATH UNIVERSITY (Id: U-0666),66,66,2,2,,,15,8,,,,1,,
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",126,47,28,10,5,2,24,13,3,,5,2,3,3
"Babu Banarsi Das University, Lucknow (Id: U-0499)",241,182,4,1,,,47,7,,,20,11,,
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan (Id: U-0177)",40,63,2,1,1,,1,1,,,,,3,5
"Bahra University, Solan (Id: U-0597)",42,48,,1,1,,,,,,,2,,
"Banaras Hindu University, Banaras (Id: U-0500)",976,297,99,36,29,15,145,42,1,,20,5,10,7
Banasthali Vidyapith (Id: U-0389),240,375,11,9,1,4,45,47,0,,16,7,4,12
"Bangalore University, Bangalore (Id: U-0215)",136,90,59,19,11,6,28,17,,1,3,5,,4
"BANKURA UNIVERSITY, BANKURA (Id: U-0772)",43,15,12,,2,,6,4,,,3,2,2,
"Bareilly International University, Bareilly (Id: U-0897)",193,140,3,2,1,,30,18,2,,19,12,3,8
"Barkatullah University, Bhopal (Id: U-0269)",54,60,8,5,4,3,5,10,,,1,8,1,4
"Bastar Vishwavidyalaya, Bastar (Id: U-0082)",23,13,1,,2,2,10,4,1,,,1,,2
BENGALURU CENTRAL UNIVERSITY (Id: U-0956),77,70,17,8,4,2,23,19,,,2,4,3,4
BENGALURU NORTH UNIVERSITY (Id: U-0972),27,28,10,4,2,,12,14,,,4,,,2
"Bennett University, Greater Noida (Id: U-0890)",77,44,,,,,,,,,4,1,3,6
"Berhampur University, Berhampur (Id: U-0350)",73,16,10,2,13,,4,,1,,,,2,
"Bhabha University, Bhopal (Id: U-0943)",8,17,3,1,,,2,5,,,,,,
"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat (Id: U-0157)",26,25,3,3,,,3,2,,,,,1,
BHAGWAN MAHAVIR UNIVERSITY (Id: U-1074),5,3,,,,,,1,,,,,,
"Bhagwant University,  Ajmer (Id: U-0390)",143,41,4,,1,3,21,2,,,2,,3,
BHAIKAKA UNIVERSITY (Id: U-1065),,1,,,,,,,,,,,,
BHAKTA KAVI NARSINH MEHTA UNIVERSITY (Id: U-0783),23,3,2,,,1,6,1,1,,1,,,
"Bharathiar University, Coimbatore (Id: U-0447)",148,82,40,11,,,99,64,1,,,,6,4
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",121,31,35,9,,,79,22,,,3,,8,3
Bharath Institute of Higher Education & Research (Id: U-0446),878,846,63,69,2,9,467,503,,,25,20,72,99
"Bharati Vidyapeeth, Pune (Id: U-0292)",5,,,,,,,,,,,,,
Bhartiya Skill Development Univesity (Id: U-0949),90,24,4,,,,26,4,,,2,,3,3
"BHATTADEV UNIVERSITY, BAJALI (Id: U-1043)",52,21,3,2,3,1,16,4,2,,,,,
BHUPAL NOBLES' UNIVERSITY (Id: U-0836),95,76,1,1,,,6,6,1,,3,4,3,11
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",69,12,,,,,33,4,,,6,,,
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",195,29,34,8,5,2,10,3,,,5,,,
"Bihar Agriculture University, Sabour (Id: U-0060)",19,5,3,1,,,3,2,,,2,,,
BIHAR ANIMAL SCIENCES UNIVERSITY (Id: U-0997),66,12,14,3,1,,30,3,2,,2,,,
