Institution,sfr,infrastructure,out turn,Score
ABHILASHI UNIVERSITY (Id: U-0761),11.86764706,26,409,207
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",17.07179487,26,772,276
"Acharya Nagarjuna University, Guntur (Id: U-0003)",485.2714286,28,17075,17909
"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",15.16161616,30,956,426
ADAMAS UNIVERSITY (Id: U-0857),13.0562249,18,357,376
ADESH UNIVERSITY (Id: U-0736),9.156739812,24,458,193
ADICHUNCHANAGIRI UNIVERSITY (Id: U-0971),6.440514469,30,814,325
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",13.53383459,19,527,1309
"AGRICULTURE UNIVERSITY, JODHPUR (Id: U-0703)",9.347826087,20,136,51
"AGRICULTURE UNIVERSITY, KOTA (Id: U-0704)",17.72972973,19,24,133
Ahmedabad University (Id: U-0122),17.02139037,25,1120,254
AIPH UNIVERSITY (Id: U-1062),7.933333333,18,0,119
AISECT UNIVERSITY (Id: U-0850),77.30136986,0,177,3038
Ajeenkya D Y Patil University (Id: U-0885),21.36363636,30,163,421
"AKAL UNIVERSITY,BHATINDA (Id: U-0879)",11.98863636,23,305,213
"AKS UNIVERSITY, SATNA (Id: U-0650)",29.5,27,1590,687
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",256.2753623,29,6194,20280
Al-Falah University (Id: U-0936),8.508426966,30,713,322
"Aliah University, Kolkata (Id: U-0567)",31.99444444,22,1091,1516
"Aligarh Muslim University, Aligarh (Id: U-0496)",16.69923372,30,7700,7880
ALLAHABAD STATE UNIVERSITY (Id: U-0849),0,23,0,0
Alliance University. Bangalore (Id: U-0213),185,19,1027,185
ALL INDIA INSTITUTE OF MEDICAL SCIENCE DEOGHAR (Id: U-1057),23.0212766,30,0,745
ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI (Id: U-1052),3,10,0,0
ALL INDIA INSTITUTE OF MEDICAL SCIENCE NAGPUR (Id: U-1051),2.380952381,1,50,0
All India Institute of Medical Sciences (Id: U-0096),1.619565217,23,615,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL (Id: U-0687)",3.665806452,25,150,1474
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR (Id: U-0688)",7.312,24,183,174
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR (Id: U-0689)",4.581497797,28,4153,219
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI (Id: U-0961)",156.2125,1,0,22089
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA (Id: U-0686)",1.369863014,19,128,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR (Id: U-0690)",7.3,10,148,0
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH (Id: U-0691)",6.419354839,21,191,142
AMITY UNIVERSITY (Id: U-0779),5.142857143,20,787,452
"Amity University, Gwalior (Id: U-0604)",22.88333333,24,607,655
"Amity University Haryana, Gurgaon (Id: U-0155)",14,28,1338,245
"AMITY UNIVERSITY,JHARKHAND (Id: U-0875)",12.3647343,28,250,886
AMITY UNIVERSITY MUMBAI (Id: U-0995),16.5,21,591,117
AMITY UNIVERSITY PATNA (Id: U-0964),20.15642458,30,28,852
"AMITY UNIVERSITY, RAIPUR (Id: U-0757)",13.2,19,168,105
"Amity University Rajasthan, Jaipur (Id: U-0388)",14.55357143,22,806,125
"Amity University, Uttar Pradesh (Id: U-0497)",13.38349515,29,12179,336
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",25.01081389,29,5280,13036
ANANT NATIONAL UNIVERSITY (Id: U-0830),12.03049125,30,22,4709
"Andhra University, Visakhapatnam (Id: U-0006)",0,0,7788,0
"Annamalai University, Annamalainagar (Id: U-0443)",11.34375,28,55645,13
"Anna University, Chennai (Id: U-0439)",171.4067086,29,494,17229
Ansal University (Id: U-0667),103.3039457,27,545,59536
"Apeejay  Stya University, Sohna (Id: U-0156)",697.5,0,162,2790
APEX PROFESSIONAL UNIVERSITY (Id: U-0712),17.02142857,24,265,382
APEX UNIVERSITY (Id: U-1038),9.12,21,105,42
A P GOYAL SHIMLA UNIVERSITY (Id: U-0697),16.83333333,19,488,102
"ARKA JAIN University, Jharkhand (Id: U-0920)",23.69924812,27,29,824
ARUNACHAL UNIVERSITY OF STUDIES (Id: U-0740),17.10526316,23,1395,327
Arunodaya University (Id: U-0947),0,0,58,0
"Aryabhatta Knoweledge University , Patna (Id: U-0057)",39.66666667,21,12,175
ASHOKA UNIVERSITY (Id: U-0744),27.87,26,766,1630
"Assam Agricultural University, Jorhat (Id: U-0048)",21.07894737,18,435,340
"Assam Don Bosco University, Guwahati (Id: U-0049)",6.5,12,764,26
ASSAM DOWN TOWN UNIVERSITY (Id: U-0683),20.60824742,28,679,113
Assam Royal Global University (Id: U-0894),7.309278351,24,172,493
ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY (Id: U-0673),13.86752137,30,0,1454
"Assam University, Silchar (Id: U-0050)",5.605381166,30,1331,309
ASSAM WOMEN?S UNIVERSITY (Id: U-0815),17.15909091,25,172,1052
ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA (Id: U-0651),4,15,119,8
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior (Id: U-0267)",12.22408964,26,213,3184
ATAL BIHARI VAJPAYEE VISHWAVIDYALAYA (Id: U-0636),9.846153846,10,195,395
ATMIYA UNIVERSITY (Id: U-0967),148.5,16,0,233
AURO UNIVERSITY OF HOSPITALITY AND MANAGEMENT (Id: U-0794),21.13461538,25,292,187
AVANTIKA UNIVERSITY (Id: U-0959),22.96296296,15,21,76
"Avinashilingam Institute for Home Science & Higher Education for Women, Coimbatore (Id: U-0444)",36.34259259,28,2021,784
"Awadesh Pratap Singh University, Rewa (Id: U-0268)",11.46788991,27,2199,95
"Azim Premji University, Bangalore (Id: U-0601)",8.097560976,20,454,14
"Baba Farid University of Health & Medical Sciences, Faridkot (Id: U-0371)",20.21945137,30,6907,1703
"Baba Ghulam Shah Badshah University,  Jammu (Id: U-0191)",54.76785714,27,549,1613
BABA MASTNATH UNIVERSITY (Id: U-0666),7.310810811,27,594,703
"Babasheb Bhimrao Ambedkar University, Lucknow (Id: U-0498)",1078,23,1172,301
"Babu Banarsi Das University, Lucknow (Id: U-0499)",12.815,26,1473,818
"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan (Id: U-0177)",24.52272727,26,356,831
"Bahra University, Solan (Id: U-0597)",27.41040462,17,552,2890
"Banaras Hindu University, Banaras (Id: U-0500)",15.51300236,24,15398,590
Banasthali Vidyapith (Id: U-0389),11.89320388,23,3894,161
"Bangalore University, Bangalore (Id: U-0215)",15.45555556,26,3285,302
"BANKURA UNIVERSITY, BANKURA (Id: U-0772)",23.13982718,0,628,10495
"Bareilly International University, Bareilly (Id: U-0897)",20.66829268,30,493,3288
"Barkatullah University, Bhopal (Id: U-0269)",33.83628319,26,898,5298
"Bastar Vishwavidyalaya, Bastar (Id: U-0082)",20.65517241,20,185,1198
BENGALURU CENTRAL UNIVERSITY (Id: U-0956),6.465465465,28,0,354
BENGALURU NORTH UNIVERSITY (Id: U-0972),32.20175439,26,0,1348
"Bennett University, Greater Noida (Id: U-0890)",12.69444444,10,54,274
"Berhampur University, Berhampur (Id: U-0350)",7.850340136,11,1285,1154
"Bhabha University, Bhopal (Id: U-0943)",12.85454545,18,19,707
"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat (Id: U-0157)",21.02479339,26,711,252
BHAGWAN MAHAVIR UNIVERSITY (Id: U-1074),27.92134831,27,0,1941
"Bhagwant University,  Ajmer (Id: U-0390)",47.08,30,982,309
BHAIKAKA UNIVERSITY (Id: U-1065),58.94117647,1,0,579
BHAKTA KAVI NARSINH MEHTA UNIVERSITY (Id: U-0783),19.25,19,80,99
"Bharathiar University, Coimbatore (Id: U-0447)",13.82065217,29,16245,175
"Bharathidasan University, Tiruchirappalli (Id: U-0448)",250,27,5200,0
Bharath Institute of Higher Education & Research (Id: U-0446),24.11538462,14,3013,627
"Bharati Vidyapeeth, Pune (Id: U-0292)",247.9434783,23,2082,25600
Bhartiya Skill Development Univesity (Id: U-0949),181.7039474,22,22,15991
"BHATTADEV UNIVERSITY, BAJALI (Id: U-1043)",9.042343387,28,466,701
BHUPAL NOBLES' UNIVERSITY (Id: U-0836),1160.4,0,1903,3596
"Bhupendra Narayan Mandal University, Madhepura (Id: U-0059)",4.763157895,28,595,41
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia (Id: U-0568)",60.89041096,19,535,229
"Bihar Agriculture University, Sabour (Id: U-0060)",40.02923977,26,108,1416
BIHAR ANIMAL SCIENCES UNIVERSITY (Id: U-0997),29.87654321,20,92,2345
"Biju Patnaik University of Technology, Rourkela (Id: U-0351)",8.013392857,19,79,748
BIKANER TECHNICAL UNIVERSITY (Id: U-0991),10.70833333,20,0,257
BINOD BIHARI MAHTO KOYALANCHAL UNIVERSITY (Id: U-0978),5.653846154,18,1874,56
BIRLA GLOBAL UNIVERSITY (Id: U-1020),4.458333333,16,168,107
"Birla Institute of Technology, Ranchi (Id: U-0202)",1.3,26,1233,13
"Birla Institute of Technology & Sciences, Pilani (Id: U-0391)",63.66666667,20,3565,4011
"Birsa Agricultural University, Ranchi (Id: U-0203)",22.26086957,24,203,323
BIRSA MUNDA TRIBAL UNIVERSITY (Id: U-0966),13.94832827,26,0,854
"B.L.D.E. University,  Bijapur (Id: U-0214)",20.39689266,30,240,2631
BML MUNJAL UNIVERSITY (Id: U-0735),7.395604396,17,439,194
BODOLAND UNIVERSITY (Id: U-0674),26.57142857,7,537,0
BRAINWARE UNIVERSITY (Id: U-0846),5.748571429,27,320,163
