university,studenttotal,teacherscount,sfr
ABHILASHI UNIVERSITY (Id: U-0761),1614,136.0,11.867647058823529
"Academy of Maritime Education and Training, Chennai (Id: U-0434)",3329,195.0,17.07179487179487
"Acharya Nagarjuna University, Guntur (Id: U-0003)",101907,210.0,485.27142857142854
"Acharya NG Ranga Agricultural University, Guntur (Id: U-0004)",6004,396.0,15.16161616161616
ADAMAS UNIVERSITY (Id: U-0857),3251,249.0,13.056224899598394
ADESH UNIVERSITY (Id: U-0736),2921,319.0,9.156739811912226
ADICHUNCHANAGIRI UNIVERSITY (Id: U-0971),2003,311.0,6.440514469453376
"Adikavi Nannaya University, Rajahmundry, East Godawari (Id: U-0005)",1800,133.0,13.533834586466165
"AGRICULTURE UNIVERSITY, JODHPUR (Id: U-0703)",645,69.0,9.347826086956522
"AGRICULTURE UNIVERSITY, KOTA (Id: U-0704)",656,37.0,17.72972972972973
Ahmedabad University (Id: U-0122),3183,187.0,17.02139037433155
AIPH UNIVERSITY (Id: U-1062),119,15.0,7.933333333333334
AISECT UNIVERSITY (Id: U-0850),5643,73.0,77.3013698630137
Ajeenkya D Y Patil University (Id: U-0885),2820,132.0,21.363636363636363
"AKAL UNIVERSITY,BHATINDA (Id: U-0879)",1055,88.0,11.988636363636363
"AKS UNIVERSITY, SATNA (Id: U-0650)",8378,284.0,29.5
"Alagappa University, Alagappa Nagar, Karaikudi (Id: U-0435)",53049,207.0,256.27536231884056
Al-Falah University (Id: U-0936),3029,356.0,8.508426966292134
"Aliah University, Kolkata (Id: U-0567)",5759,180.0,31.994444444444444
"Aligarh Muslim University, Aligarh (Id: U-0496)",26151,1566.0,16.699233716475096
AL-KARIM UNIVERSITY (Id: U-0990),0,2.0,0.0
ALLAHABAD STATE UNIVERSITY (Id: U-0849),185,1.0,185.0
Alliance University. Bangalore (Id: U-0213),3246,141.0,23.02127659574468
ALL INDIA INSTITUTE OF MEDICAL SCIENCE DEOGHAR (Id: U-1057),48,16.0,3.0
ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI (Id: U-1052),50,21.0,2.380952380952381
ALL INDIA INSTITUTE OF MEDICAL SCIENCE NAGPUR (Id: U-1051),149,92.0,1.6195652173913044
All India Institute of Medical Sciences (Id: U-0096),2841,775.0,3.6658064516129034
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL (Id: U-0687)",914,125.0,7.312
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR (Id: U-0688)",1040,227.0,4.581497797356828
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, JODHPUR (Id: U-0689)",24994,160.0,156.2125
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, MANGALAGIRI (Id: U-0961)",100,73.0,1.36986301369863
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, PATNA (Id: U-0686)",803,110.0,7.3
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR (Id: U-0690)",995,155.0,6.419354838709677
"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH (Id: U-0691)",1296,252.0,5.142857142857143
AMITY UNIVERSITY (Id: U-0779),5492,240.0,22.883333333333333
"Amity University, Gwalior (Id: U-0604)",2156,154.0,14.0
"Amity University Haryana, Gurgaon (Id: U-0155)",5119,414.0,12.364734299516908
"AMITY UNIVERSITY,JHARKHAND (Id: U-0875)",1287,78.0,16.5
AMITY UNIVERSITY MUMBAI (Id: U-0995),3608,179.0,20.156424581005588
AMITY UNIVERSITY PATNA (Id: U-0964),990,75.0,13.2
"AMITY UNIVERSITY, RAIPUR (Id: U-0757)",1630,112.0,14.553571428571429
"Amity University Rajasthan, Jaipur (Id: U-0388)",2757,206.0,13.383495145631068
"Amity University, Uttar Pradesh (Id: U-0497)",43944,1757.0,25.01081388730791
"Amrita Vishwa Vidyapeetham, Coimbatore (Id: U-0436)",21306,1771.0,12.030491247882551
"Anand Agricultural University, Anand (Id: U-0123)",0,1.0,0.0
ANANT NATIONAL UNIVERSITY (Id: U-0830),726,64.0,11.34375
"Andhra University, Visakhapatnam (Id: U-0006)",81761,477.0,171.40670859538784
"Annamalai University, Annamalainagar (Id: U-0443)",167559,1622.0,103.3039457459926
"Anna University, Chennai (Id: U-0439)",2790,4.0,697.5
Ansal University (Id: U-0667),2383,140.0,17.021428571428572
"Apeejay  Stya University, Sohna (Id: U-0156)",684,75.0,9.12
APEX PROFESSIONAL UNIVERSITY (Id: U-0712),1111,66.0,16.833333333333332
APEX UNIVERSITY (Id: U-1038),3152,133.0,23.69924812030075
